,Jurisdiction,Takers,Passers,Pass_Rate
114,Alabama,782,403,0.5153452685421995
115,Alaska,89,44,0.4943820224719101
116,Arizona,828,484,0.5845410628019324
117,Arkansas,342,196,0.5730994152046783
118,California,12404,5347,0.4310706223798775
119,Colorado,1030,707,0.6864077669902913
120,Connecticut,461,245,0.5314533622559653
121,Delaware,213,111,0.5211267605633803
122,District of Columbia,2584,1628,0.6300309597523219
123,Florida,4045,2263,0.5594561186650185
124,Georgia,1701,959,0.5637860082304527
125,Hawaii,272,170,0.625
126,Idaho,198,126,0.6363636363636364
127,Illinois,2638,1745,0.6614859742228961
128,Indiana,697,416,0.5968436154949784
129,Iowa,262,192,0.732824427480916
130,Kansas,149,125,0.8389261744966443
131,Kentucky,535,345,0.6448598130841121
132,Louisiana,735,477,0.6489795918367347
133,Maine,175,81,0.46285714285714286
134,Maryland,1140,692,0.6070175438596491
135,Massachusetts,1875,1216,0.6485333333333333
136,Michigan,1011,604,0.5974282888229476
137,Minnesota,769,542,0.7048114434330299
138,Mississippi,258,167,0.6472868217054264
139,Missouri,948,695,0.7331223628691983
140,Montana,132,106,0.803030303030303
141,Nebraska,200,144,0.72
142,Nevada,526,314,0.596958174904943
143,New Hampshire,162,90,0.5555555555555556
144,New Jersey,1305,770,0.5900383141762452
145,New Mexico,323,219,0.6780185758513931
146,New York,14200,8380,0.5901408450704225
147,North Carolina,1303,904,0.693783576362241
148,North Dakota,119,78,0.6554621848739496
149,Ohio,1263,847,0.6706254948535234
150,Oklahoma,431,326,0.7563805104408353
151,Oregon,564,391,0.6932624113475178
152,Pennsylvania,1780,1235,0.6938202247191011
153,Rhode Island,117,65,0.5555555555555556
154,South Carolina,662,443,0.6691842900302115
155,South Dakota,104,78,0.75
156,Tennessee,989,631,0.6380182002022244
157,Texas,4092,2624,0.6412512218963832
158,Utah,327,256,0.7828746177370031
159,Vermont,117,70,0.5982905982905983
160,Virginia,910,650,0.7142857142857143
161,Washington,943,590,0.6256627783669141
162,West Virginia,242,147,0.6074380165289256
163,Wisconsin,201,116,0.5771144278606966
164,Wyoming,83,55,0.6626506024096386
165,Guam,10,5,0.5
166,N. Mariana Islands,3,2,0.6666666666666666
167,Palau,7,1,0.14285714285714285
168,Puerto Rico,1031,348,0.3375363724539282
169,Virgin Islands,18,8,0.4444444444444444
170,Total for All Jurisdictions,68305,39873,0.5837493594905204
