,Jurisdiction,Takers,Passers,Pass_Rate
114,Alabama,766,397,0.5182767624020888
115,Alaska,100,53,0.53
116,Arizona,971,484,0.4984552008238929
117,Arkansas,345,218,0.6318840579710145
118,California,12985,5768,0.44420485175202157
119,Colorado,1103,763,0.6917497733454215
120,Connecticut,544,350,0.6433823529411765
121,Delaware,213,146,0.6854460093896714
122,District of Columbia,1606,1031,0.6419676214196762
123,Florida,4415,2446,0.5540203850509626
124,Georgia,1718,1001,0.5826542491268918
125,Hawaii,274,185,0.6751824817518248
126,Idaho,192,143,0.7447916666666666
127,Illinois,2740,1885,0.6879562043795621
128,Indiana,792,485,0.6123737373737373
129,Iowa,260,204,0.7846153846153846
130,Kansas,176,132,0.75
131,Kentucky,495,300,0.6060606060606061
132,Louisiana,815,558,0.6846625766871166
133,Maine,160,101,0.63125
134,Maryland,1605,888,0.5532710280373832
135,Massachusetts,1872,1197,0.6394230769230769
136,Michigan,1094,700,0.6398537477148081
137,Minnesota,825,564,0.6836363636363636
138,Mississippi,262,137,0.5229007633587787
139,Missouri,946,748,0.7906976744186046
140,Montana,149,114,0.7651006711409396
141,Nebraska,217,161,0.7419354838709677
142,Nevada,523,306,0.5850860420650096
143,New Hampshire,234,160,0.6837606837606838
144,New Jersey,1351,778,0.5758697261287935
145,New Mexico,308,237,0.7694805194805194
146,New York,14094,8624,0.6118915850716617
147,North Carolina,1639,858,0.5234899328859061
148,North Dakota,113,61,0.5398230088495575
149,Ohio,1372,888,0.6472303206997084
150,Oklahoma,421,341,0.8099762470308789
151,Oregon,667,502,0.7526236881559221
152,Pennsylvania,1865,1263,0.6772117962466488
153,Rhode Island,165,95,0.5757575757575758
154,South Carolina,682,445,0.6524926686217009
155,South Dakota,115,67,0.5826086956521739
156,Tennessee,1068,644,0.602996254681648
157,Texas,4208,2730,0.6487642585551331
158,Utah,397,302,0.760705289672544
159,Vermont,111,65,0.5855855855855856
160,Virginia,1226,811,0.6615008156606852
161,Washington,1120,758,0.6767857142857143
162,West Virginia,240,155,0.6458333333333334
163,Wisconsin,218,150,0.6880733944954128
164,Wyoming,90,57,0.6333333333333333
165,Guam,18,13,0.7222222222222222
166,N. Mariana Islands,6,4,0.6666666666666666
167,Palau,10,1,0.1
168,Puerto Rico,926,323,0.3488120950323974
169,Virgin Islands,30,15,0.5
170,Total for All Jurisdictions,70857,41812,0.5900898993747972
