,Jurisdiction,Takers,Passers,Pass_Rate
114,Alabama,841,391,0.464922711058264
115,Alaska,82,48,0.5853658536585366
116,Arizona,961,505,0.5254942767950052
117,Arkansas,308,164,0.5324675324675324
118,California,12772,4566,0.35750078296273097
119,Colorado,1081,696,0.6438482886216467
120,Connecticut,522,254,0.48659003831417624
121,Delaware,172,104,0.6046511627906976
122,District of Columbia,2325,1435,0.6172043010752688
123,Florida,4204,2165,0.5149857278782112
124,Georgia,1652,878,0.5314769975786925
125,Hawaii,256,174,0.6796875
126,Idaho,172,116,0.6744186046511628
127,Illinois,2682,1758,0.6554809843400448
128,Indiana,723,432,0.5975103734439834
129,Iowa,250,185,0.74
130,Kansas,148,97,0.6554054054054054
131,Kentucky,499,315,0.6312625250501002
132,Louisiana,790,524,0.6632911392405063
133,Maine,162,89,0.5493827160493827
134,Maryland,1253,643,0.5131683958499601
135,Massachusetts,1852,1141,0.6160907127429806
136,Michigan,1070,677,0.6327102803738318
137,Minnesota,798,551,0.6904761904761905
138,Mississippi,269,129,0.4795539033457249
139,Missouri,883,638,0.7225368063420159
140,Montana,117,86,0.7350427350427351
141,Nebraska,195,136,0.6974358974358974
142,Nevada,500,272,0.544
143,New Hampshire,205,94,0.4585365853658537
144,New Jersey,1446,778,0.5380359612724758
145,New Mexico,300,205,0.6833333333333333
146,New York,13438,7516,0.5593094210447983
147,North Carolina,1202,567,0.4717138103161398
148,North Dakota,84,49,0.5833333333333334
149,Ohio,1237,798,0.645109135004042
150,Oklahoma,363,261,0.71900826446281
151,Oregon,622,433,0.6961414790996785
152,Pennsylvania,1808,1187,0.6565265486725663
153,Rhode Island,115,62,0.5391304347826087
154,South Carolina,653,395,0.6049004594180705
155,South Dakota,117,65,0.5555555555555556
156,Tennessee,900,504,0.56
157,Texas,4068,2403,0.5907079646017699
158,Utah,358,266,0.7430167597765364
159,Vermont,117,80,0.6837606837606838
160,Virginia,1104,731,0.6621376811594203
161,Washington,1006,629,0.6252485089463221
162,West Virginia,249,149,0.5983935742971888
163,Wisconsin,202,128,0.6336633663366337
164,Wyoming,84,58,0.6904761904761905
165,Guam,12,6,0.5
166,N. Mariana Islands,6,5,0.8333333333333334
167,Palau,9,4,0.4444444444444444
168,Puerto Rico,935,332,0.35508021390374334
169,Virgin Islands,19,13,0.6842105263157895
170,Total for All Jurisdictions,68198,36887,0.5408809642511511
